text,intent,group,split
Which cable in this photo goes to the router,multimodal,multimodal-004,test
Can you set up ESLint and Prettier in a Next.js project,coding,coding-089,train
I need help: why can't you divide a cake fairly among three people by cutting it once please,reasoning,reasoning-060,train
What is the logical fallacy in saying everyone believes it so it must be true,reasoning,reasoning-088,train
Search for the best-rated laptops under 60000 rupees,search,search-005,test
Read the sign in this street photo and translate it,multimodal,multimodal-012,test
Look up the opening hours of the Bangalore Palace,search,search-067,train
Write a migration to add an index on the email column,coding,coding-011,test
Which of these two selfies should I use for my profile thanks,multimodal,multimodal-027,train
"Hey, help me decide between studying abroad and staying in India for my degree thanks",reasoning,reasoning-023,train
Write a bash script that renames all .txt files to .md,coding,coding-008,test
"Hey, why does my React useEffect run twice on mount",coding,coding-003,test
What does the label on this medicine bottle photo say,multimodal,multimodal-062,train
"A shop offers 20 percent off then 10 percent off, is that the same as 30 percent off?",reasoning,reasoning-053,train
Recent developments in fusion energy research?,search,search-065,train
Write a function to validate an email address in JavaScript please,coding,coding-073,train
Write a poem about monsoon in Hyderabad,writing,writing-008,test
Quick one: check this screenshot of my code for bugs?,multimodal,multimodal-080,train
I need help: look at this MRI scan image and describe what you see?,multimodal,multimodal-038,train
"Please if all bloops are razzies and all razzies are lazzies, are all bloops lazzies asap",reasoning,reasoning-079,train
"Hey, what color is the car in the picture",multimodal,multimodal-088,train
Which teams are in the IPL final this season,search,search-035,train
I need help: how many states does India have,search,search-064,train
I need help: draft a memo announcing the new work from home policy asap,writing,writing-027,train
What are today's headlines about the stock market,search,search-088,train
Detect the objects in this street photo?,multimodal,multimodal-067,train
Is this photo of a bridge showing any structural damage.,multimodal,multimodal-003,test
Write a Python script to rename files based on their creation date,coding,coding-040,train
Can you write a paragraph describing autumn in the mountains thanks,writing,writing-009,test
TypeError: Cannot read properties of undefined (reading 'map') please,coding,coding-005,test
"Hey, think through the trade-offs of a four-day work week.",reasoning,reasoning-062,train
Caption this image for Instagram,multimodal,multimodal-018,train
In how many years will a sum double at 10 percent simple interest?,reasoning,reasoning-069,train
Grade this handwritten exam answer from the image,multimodal,multimodal-005,test
What is the longest river in Africa,search,search-027,train
Polish this abstract so it reads well for a journal submission thanks,writing,writing-023,train
Who scored the most runs in the last cricket World Cup,search,search-085,train
Could you write a monologue for a villain who thinks he is the hero.,writing,writing-019,train
Reason step by step: is it better to pay off debt or invest first,reasoning,reasoning-001,test
I need help: how to serialize a dataclass to JSON in Python,coding,coding-070,train
Can you what is the current inflation rate in India please,search,search-076,train
Please why is my Docker container exiting immediately,coding,coding-067,train
I need help: what is the atomic number of tungsten,search,search-043,train
Write a SQL query to get the top 5 customers by total order value,coding,coding-079,train
"Hey, how do I mock an API call in Jest",coding,coding-028,train
What is the score of the India vs Australia match,search,search-048,train
What is the boiling point of ethanol.,search,search-058,train
Quick one: what is the diagram in this picture showing.,multimodal,multimodal-085,train
Could you describe the mood of this painting thanks,multimodal,multimodal-071,train
Quick one: when is the next solar eclipse visible from India thanks,search,search-002,test
What is the latest iPhone model available in India please,search,search-034,train
Which country hosted the last G20 summit,search,search-017,test
What's in this screenshot of my terminal error please,multimodal,multimodal-079,train
I need help: explain this stack trace from Spring Boot,coding,coding-022,train
Write an executive summary for our quarterly business report please,writing,writing-085,train
Can you draft a grant proposal abstract for a rural water project.,writing,writing-065,train
"Which is bigger, 2 to the power 100 or 100 to the power 20",reasoning,reasoning-012,test
"Hey, if every person in a room shakes hands with everyone else and there are 45 handshakes, how many people",reasoning,reasoning-004,test
"Hey, summarize the infographic in this picture asap",multimodal,multimodal-063,train
Explain the circuit in this photo,multimodal,multimodal-036,train
I need help: look at this chest of drawers photo and tell me how to fix the drawer?,multimodal,multimodal-033,train
"Could you which is bigger, 2 to the power 100 or 100 to the power 20",reasoning,reasoning-012,test
I need help: write a persuasive speech on why students should learn to code asap,writing,writing-011,test
Explain how a hash map works internally thanks,coding,coding-047,train
Write a funny best man speech asap,writing,writing-058,train
Latest news about Tesla stock,search,search-013,test
Can you help me write a bio for my conference speaker profile,writing,writing-059,train
How to make a Python script executable from the terminal please,coding,coding-015,test
"If the average of five numbers is 12 and one is removed leaving an average of 10, what was removed thanks",reasoning,reasoning-000,test
"Hey, how to schedule a cron job that runs every 15 minutes asap",coding,coding-071,train
Could you implement Dijkstra's algorithm in C++,coding,coding-017,test
Please has the new Tamil Nadu EV policy been announced yet?,search,search-070,train
Explain the meme in this image,multimodal,multimodal-069,train
Write a monologue for a villain who thinks he is the hero,writing,writing-019,train
Could you who is the president of France.,search,search-077,train
Explain the difference between async and await in JavaScript,coding,coding-085,train
Please how many ways can 5 people sit in a row thanks,reasoning,reasoning-078,train
I need help: how to handle CORS errors in an Express server thanks,coding,coding-001,test
Please look at this floor plan image and estimate the room sizes,multimodal,multimodal-011,test
Build a simple todo API with Express and MongoDB,coding,coding-030,train
Extract the table from this screenshot into CSV,multimodal,multimodal-030,train
"Is it rational to buy lottery tickets, argue both sides?",reasoning,reasoning-041,train
Please look at this sketch and tell me what building it is,multimodal,multimodal-008,test
Could you read the expiry date from this photo of the packet?,multimodal,multimodal-031,train
I need help: write an engaging opening paragraph for a mystery novel asap,writing,writing-072,train
Please what year was Google founded.,search,search-029,train
Summarize the infographic in this picture,multimodal,multimodal-063,train
Please help me think through whether to drop this course,reasoning,reasoning-057,train
Please write a persuasive speech on why students should learn to code,writing,writing-011,test
Write a blog post titled ten lessons from my first startup,writing,writing-005,test
Please is this plant in the photo healthy or diseased thanks,multimodal,multimodal-078,train
Write a 300-word article on the history of chai,writing,writing-021,train
Please how do I add a foreign key constraint in PostgreSQL,coding,coding-069,train
Quick one: what are today's headlines about the stock market.,search,search-088,train
I need help: what does git rebase do and when should I use it asap,coding,coding-078,train
"If a train catches up to another train, how do I set up the equations",reasoning,reasoning-076,train
Write a funny best man speech,writing,writing-058,train
Quick one: who directed the movie Oppenheimer?,search,search-080,train
Quick one: who scored the most runs in the last cricket World Cup,search,search-085,train
Think through the trade-offs of a four-day work week?,reasoning,reasoning-062,train
ModuleNotFoundError: No module named numpy even after pip install thanks,coding,coding-010,test
"Compare these two product photos, which has better lighting",multimodal,multimodal-052,train
Write a travel blog entry about a weekend in Goa,writing,writing-038,train
Can you write a sales pitch script for cold calling gyms asap,writing,writing-049,train
Can you read the number plate from this photo.,multimodal,multimodal-072,train
Quick one: what is the capital of Kazakhstan please,search,search-089,train
"Hey, how tall is Mount Kilimanjaro",search,search-014,test
Argue for and against a universal basic income please,reasoning,reasoning-077,train
Write a complaint letter to the airline about lost luggage,writing,writing-047,train
Find recent papers on retrieval-augmented generation,search,search-061,train
What is the current population of the world,search,search-047,train
Quick one: how do I set up a virtual environment with venv thanks,coding,coding-036,train
Quick one: what is the deepest point in the ocean,search,search-038,train
Could you what does this hand-drawn flowchart represent,multimodal,multimodal-058,train
What is wrong with the plant in this photo,multimodal,multimodal-015,test
Quick one: is it logically valid to conclude it rained because the ground is wet asap,reasoning,reasoning-050,train
Create a LinkedIn post announcing my new job?,writing,writing-042,train
Walk me through the logic of the Monty Hall problem please,reasoning,reasoning-028,train
Could you solve for x: 3x + 7 = 2x - 5 thanks,reasoning,reasoning-042,train
Write a fictional dialogue between two rival chefs,writing,writing-080,train
Quick one: identify the landmark in this photo thanks,multimodal,multimodal-047,train
How many handshakes happen if 12 people each shake hands once,reasoning,reasoning-025,train
Could you draft a two-paragraph bio for my Twitter profile,writing,writing-029,train
Can you implement a stack using two queues please,coding,coding-009,test
"Hey, which piece is winning in this chessboard photo asap",multimodal,multimodal-017,test
Create a REST endpoint that returns JSON in FastAPI,coding,coding-055,train
Can you write a function that reverses a linked list in Java.,coding,coding-060,train
Could you write a shell one-liner to count lines in all Python files please,coding,coding-050,train
Could you draft a sponsorship request letter for our robotics club please,writing,writing-034,train
"Quick one: what is the difference between let, const and var",coding,coding-088,train
Can you explain step by step how to decide which sorting algorithm to use,reasoning,reasoning-009,test
Which team won the most recent Champions League final,search,search-045,train
Is the text in this poster image readable enough,multimodal,multimodal-009,test
What is the current population of the world?,search,search-047,train
Can you search for the best-rated laptops under 60000 rupees thanks,search,search-005,test
What is the release date of the next iPhone,search,search-069,train
Analyze this X-ray image for anything unusual thanks,multimodal,multimodal-077,train
Identify the bird in this image,multimodal,multimodal-084,train
"If a car travels 150 km in 2.5 hours, what is the average speed",reasoning,reasoning-029,train
Transcribe the equation from this photo into LaTeX,multimodal,multimodal-024,train
Could you help me write a eulogy for my grandfather please,writing,writing-046,train
Can you how do I use TypeScript generics with interfaces thanks,coding,coding-077,train
Could you recent developments in fusion energy research?,search,search-065,train
Could you grade this handwritten exam answer from the image,multimodal,multimodal-005,test
Walk me through the logic of the Monty Hall problem,reasoning,reasoning-028,train
I need help: estimate how many piano tuners there are in Chicago.,reasoning,reasoning-007,test
Can you what happened in the tech industry this week asap,search,search-010,test
Why does my React useEffect run twice on mount,coding,coding-003,test
Read the temperature from this thermostat photo,multimodal,multimodal-032,train
How do I make an HTTP POST request with requests in Python,coding,coding-045,train
Extract the phone number from this business card photo.,multimodal,multimodal-083,train
Explain why 0.999 repeating equals 1,reasoning,reasoning-046,train
Expand this outline into a full article on sleep hygiene thanks,writing,writing-088,train
Identify the mountain range in this landscape photo asap,multimodal,multimodal-057,train
Please improve the flow and tone of this paragraph,writing,writing-004,test
Quick one: what happened in the tech industry this week.,search,search-010,test
"A shop offers 20 percent off then 10 percent off, is that the same as 30 percent off",reasoning,reasoning-053,train
Quick one: why does a heavier object not fall faster than a lighter one in a vacuum asap,reasoning,reasoning-027,train
Argue for and against a universal basic income.,reasoning,reasoning-077,train
"Hey, explain the circuit in this photo",multimodal,multimodal-036,train
Write a short horror story set in a hostel,writing,writing-073,train
I need help: compare these two chart screenshots and tell me which trend is stronger asap,multimodal,multimodal-045,train
How many chairs are visible in this room photo.,multimodal,multimodal-061,train
Could you write a movie review of a sci-fi film I just watched,writing,writing-022,train
What are the top trending movies on Netflix India this week,search,search-016,test
I need help: write a GraphQL schema for a blog with posts and comments,coding,coding-052,train
Could you which is the largest desert in the world?,search,search-009,test
Please prove that the square root of 2 is irrational?,reasoning,reasoning-022,train
"Quick one: what is the next number in the sequence 2, 6, 12, 20, 30",reasoning,reasoning-016,test
I need help: draft a memo announcing the new work from home policy.,writing,writing-027,train
I need help: draft a cover letter for a software engineering internship please,writing,writing-054,train
"Hey, write a letter of recommendation for my intern",writing,writing-033,train
Write a haiku about coffee,writing,writing-032,train
I need help: build a simple todo API with Express and MongoDB.,coding,coding-030,train
"Can you what is the flaw in this argument: all birds fly, penguins are birds, so penguins fly",reasoning,reasoning-070,train
How do I deploy a Node app on an Ubuntu VPS with pm2 thanks,coding,coding-048,train
Please how to schedule a cron job that runs every 15 minutes,coding,coding-071,train
How to parse JSON in Rust with serde,coding,coding-053,train
I need help: implement quicksort and explain its complexity,coding,coding-006,test
Quick one: what species of fish is in this aquarium picture,multimodal,multimodal-066,train
Read the sign in this street photo and translate it asap,multimodal,multimodal-012,test
"Hey, what is written on this whiteboard photo please",multimodal,multimodal-053,train
Please what year was Google founded?,search,search-029,train
Can you compose a thank-you note to my mentor,writing,writing-051,train
Convert this photo of my notes into a bullet list asap,multimodal,multimodal-044,train
"Hey, draft a statement of purpose for a PhD in computer science asap",writing,writing-016,test
I need help: when was the Eiffel Tower built please,search,search-012,test
Draft meeting minutes from these notes,writing,writing-018,train
Quick one: write a bash script that renames all .txt files to .md.,coding,coding-008,test
I need help: explain memory leaks in JavaScript closures,coding,coding-004,test
Please count the number of people in this image,multimodal,multimodal-073,train
Describe the mood of this painting,multimodal,multimodal-071,train
Describe the outfit in this photo and suggest matching shoes,multimodal,multimodal-065,train
Evaluate the argument that AI will take all jobs,reasoning,reasoning-074,train
Draft a resignation letter that keeps things friendly asap,writing,writing-078,train
Quick one: what is the release date of the next iPhone,search,search-069,train
What year was Google founded,search,search-029,train
"What is 17 times 23 without a calculator, show your working",reasoning,reasoning-083,train
"Can you if it takes 5 machines 5 minutes to make 5 widgets, how long for 100 machines to make 100 widgets",reasoning,reasoning-039,train
"I need help: if I invest 10000 at 8 percent compounded annually, how much after 5 years?",reasoning,reasoning-047,train
"Hey, compose a thank-you note to my mentor asap",writing,writing-051,train
Could you which team won the most recent Champions League final asap,search,search-045,train
Could you write a Python decorator that logs function execution time asap,coding,coding-059,train
"Could you two fathers and two sons go fishing and catch three fish, one each, how",reasoning,reasoning-037,train
Give me the latest unemployment statistics for the US,search,search-028,train
"Hey, what is the release date of the next iPhone please",search,search-069,train
"Hey, write a letter to my future self.",writing,writing-075,train
Implement a stack using two queues,coding,coding-009,test
Quick one: write a 300-word article on the history of chai thanks,writing,writing-021,train
Can you write a monologue for a villain who thinks he is the hero.,writing,writing-019,train
How to merge two branches in git without a merge commit please,coding,coding-072,train
Quick one: implement a stack using two queues please,coding,coding-009,test
Look at this outfit photo and rate it out of ten.,multimodal,multimodal-020,train
Are these two images of the same person,multimodal,multimodal-007,test
Quick one: reason out whether a ball thrown upward has zero acceleration at the top?,reasoning,reasoning-043,train
Count the number of people in this image,multimodal,multimodal-073,train
Are there any train strikes in Mumbai today,search,search-003,test
Can you rewrite this paragraph to sound more formal thanks,writing,writing-002,test
What dish is shown in this photo and how is it made,multimodal,multimodal-016,test
I need help: think through whether it makes sense to buy an electric scooter for a 5 km commute,reasoning,reasoning-086,train
Read the number plate from this photo,multimodal,multimodal-072,train
"Hey, what is the population of Bangalore in 2026.",search,search-072,train
Could you what are the top trending movies on Netflix India this week,search,search-016,test
Analyze the layout of this website screenshot,multimodal,multimodal-046,train
Explain what is happening in this comic strip image,multimodal,multimodal-037,train
What does the 'static' keyword do in C++ please,coding,coding-016,test
What is the average temperature in Delhi in May,search,search-025,train
How do I catch exceptions in Python and log them,coding,coding-044,train
I need help: how would you fairly divide a cake among three people thanks,reasoning,reasoning-045,train
Quick one: refactor this class to use dependency injection,coding,coding-082,train
Why is my Docker container exiting immediately,coding,coding-067,train
Can you what is the exchange rate of USD to INR today,search,search-075,train
When did India gain independence,search,search-041,train
"If it takes 5 machines 5 minutes to make 5 widgets, how long for 100 machines to make 100 widgets thanks",reasoning,reasoning-039,train
Write a detailed proposal for a campus recycling program thanks,writing,writing-006,test
"Hey, what dish is shown in this photo and how is it made.",multimodal,multimodal-016,test
How do I upload a file to S3 using boto3 asap,coding,coding-068,train
"Hey, write a children's rhyme about brushing teeth asap",writing,writing-062,train
I need help: help me write a eulogy for my grandfather please,writing,writing-046,train
What's in this screenshot of my terminal error,multimodal,multimodal-079,train
"Hey, read the number plate from this photo",multimodal,multimodal-072,train
Implement quicksort and explain its complexity thanks,coding,coding-006,test
Is the wiring in this photo done safely,multimodal,multimodal-028,train
Draft a pitch email to a journalist about our app thanks,writing,writing-001,test
Compare the pros and cons of renting versus buying a house.,reasoning,reasoning-051,train
"Optimize this nested loop, it is O(n^2)",coding,coding-056,train
Implement a LRU cache in Python asap,coding,coding-007,test
Which company acquired Figma asap,search,search-006,test
Write a Java program to find duplicate elements in an array.,coding,coding-087,train
Improve the flow and tone of this paragraph,writing,writing-004,test
"Hey, write a Python decorator that logs function execution time asap",coding,coding-059,train
"Hey, find the typo in this screenshot of my slide please",multimodal,multimodal-087,train
Write a letter to my future self please,writing,writing-075,train
How do I connect to MongoDB from Node.js,coding,coding-023,train
Compose a farewell message for a colleague who is leaving,writing,writing-056,train
"Quick one: two dice are rolled, what is the probability the sum is 7",reasoning,reasoning-034,train
What is the capital of Kazakhstan,search,search-089,train
Quick one: walk me through the logic of the Monty Hall problem?,reasoning,reasoning-028,train
Who won the Nobel Prize in Physics this year,search,search-018,train
What is the latest Android version called,search,search-073,train
Could you is the text in this poster image readable enough please,multimodal,multimodal-009,test
When does the IPL 2027 season start,search,search-079,train
I need help: what is the logical fallacy in saying everyone believes it so it must be true,reasoning,reasoning-088,train
Who is the current chief minister of Karnataka,search,search-019,train
Please how do I implement pagination in a Django REST API?,coding,coding-064,train
What is the probability of getting two heads in three coin tosses,reasoning,reasoning-020,train
Write a heartfelt birthday message for my mom,writing,writing-026,train
"Hey, what is the GDP of Japan?",search,search-044,train
What year did India win its first cricket World Cup,search,search-008,test
What is the current inflation rate in India,search,search-076,train
Please which fruit in this basket photo looks ripe asap,multimodal,multimodal-068,train
Write a product description for a handmade leather wallet,writing,writing-015,test
Compose an email declining a job offer politely.,writing,writing-012,test
What is the price on this shelf tag image please,multimodal,multimodal-076,train
"Hey, explain this stack trace from Spring Boot?",coding,coding-022,train
What time zone is Dubai in,search,search-020,train
"Quick one: two trains leave stations 300 km apart at 60 and 90 km/h toward each other, when do they meet",reasoning,reasoning-036,train
Draft a press release for our app launch,writing,writing-013,test
Who directed the movie Oppenheimer,search,search-080,train
In how many years will a sum double at 10 percent simple interest,reasoning,reasoning-069,train
Write a children's rhyme about brushing teeth,writing,writing-062,train
How would you fairly divide a cake among three people,reasoning,reasoning-045,train
I need help: write a scene where two old friends meet after ten years please,writing,writing-064,train
Is the Bangalore metro purple line open on Sundays asap,search,search-083,train
Please why does npm install fail with EACCES permission denied thanks,coding,coding-002,test
How to serialize a dataclass to JSON in Python,coding,coding-070,train
"Can you three boxes are labelled wrong, how many draws do I need to relabel them correctly thanks",reasoning,reasoning-040,train
"I need help: which is bigger, 2 to the power 100 or 100 to the power 20 thanks",reasoning,reasoning-012,test
"Hey, which of these two room photos looks tidier thanks",multimodal,multimodal-040,train
Write an Arduino sketch to blink an LED every 500 ms,coding,coding-080,train
Why does my async function return a Promise instead of the value,coding,coding-083,train
Compose a heartfelt wedding toast for my best friend?,writing,writing-035,train
"I have 3 red and 5 blue socks in a drawer, how many must I pull to guarantee a pair",reasoning,reasoning-054,train
Please extract the table from this screenshot into CSV?,multimodal,multimodal-030,train
Describe the architecture style of the building in the photo,multimodal,multimodal-022,train
Is the Bangalore metro purple line open on Sundays,search,search-083,train
Is the text in this poster image readable enough thanks,multimodal,multimodal-009,test
Could you what does the label on this medicine bottle photo say,multimodal,multimodal-062,train
"Hey, write a Python generator that yields Fibonacci numbers thanks",coding,coding-020,train
Create a tagline and slogan for a bicycle rental startup,writing,writing-024,train
Write a limerick about a cat who codes please,writing,writing-048,train
Can you explain what is happening in this comic strip image.,multimodal,multimodal-037,train
"Please a shop offers 20 percent off then 10 percent off, is that the same as 30 percent off thanks",reasoning,reasoning-053,train
Draft a two-paragraph bio for my Twitter profile.,writing,writing-029,train
Is this plant in the photo healthy or diseased,multimodal,multimodal-078,train
Quick one: what is the distance between Hyderabad and Bangalore by road?,search,search-036,train
Quick one: what is written on this whiteboard photo,multimodal,multimodal-053,train
What is the exchange rate of USD to INR today,search,search-075,train
Could you what is the population of Bangalore in 2026,search,search-072,train
Prove that the sum of two even numbers is even,reasoning,reasoning-035,train
"Hey, draft a press release for our app launch asap",writing,writing-013,test
"Could you my Flask app returns 404 for every route, what is wrong?",coding,coding-024,train
"Hey, what is the latest version of Python",search,search-052,train
How do I deploy a Node app on an Ubuntu VPS with pm2,coding,coding-048,train
Write a Python script to scrape titles from a webpage with BeautifulSoup,coding,coding-081,train
Write a detailed proposal for a campus recycling program,writing,writing-006,test
I need help: write a letter of recommendation for my intern?,writing,writing-033,train
Set up a GitHub Actions workflow that runs pytest on push thanks,coding,coding-033,train
What is the distance between Hyderabad and Bangalore by road?,search,search-036,train
Can you what emotion is the person in this picture showing,multimodal,multimodal-013,test
What is the distance between Hyderabad and Bangalore by road,search,search-036,train
Evaluate the argument that AI will take all jobs.,reasoning,reasoning-074,train
How do I upload a file to S3 using boto3,coding,coding-068,train
Quick one: what dish is shown in this photo and how is it made please,multimodal,multimodal-016,test
I need help: how far is the moon from Earth thanks,search,search-011,test
How many handshakes happen if 12 people each shake hands once.,reasoning,reasoning-025,train
Please what is the boiling point of ethanol?,search,search-058,train
Please explain how a hash map works internally,coding,coding-047,train
Please who is the current chief minister of Karnataka,search,search-019,train
Convert this photo of my notes into a bullet list,multimodal,multimodal-044,train
What is the newest Marvel movie released.,search,search-015,test
How tall is Mount Kilimanjaro,search,search-014,test
Read the handwriting in this note and type it out please,multimodal,multimodal-081,train
Quick one: what kind of rash is shown in this skin photo,multimodal,multimodal-082,train
I need help: write a fictional dialogue between two rival chefs,writing,writing-080,train
Think through whether it makes sense to buy an electric scooter for a 5 km commute,reasoning,reasoning-086,train
Can you when is Diwali this year asap,search,search-082,train
Make this paragraph more concise without losing meaning,writing,writing-041,train
Identify the car brand from this logo image,multimodal,multimodal-006,test
"Hey, what is the next number in the sequence 2, 6, 12, 20, 30 asap",reasoning,reasoning-016,test
Where is the 2028 Olympics being held,search,search-049,train
"Please if the average of five numbers is 12 and one is removed leaving an average of 10, what was removed asap",reasoning,reasoning-000,test
Please write a Swift function that sorts an array of structs by date thanks,coding,coding-049,train
Which teams are in the IPL final this season please,search,search-035,train
I need help: how to make a Python script executable from the terminal asap,coding,coding-015,test
What is the longest river in Africa.,search,search-027,train
Solve for x: 3x + 7 = 2x - 5,reasoning,reasoning-042,train
Debug this segmentation fault in my C program?,coding,coding-084,train
Explain step by step why the sky is blue,reasoning,reasoning-021,train
"Hey, caption this image for Instagram",multimodal,multimodal-018,train
Quick one: polish this abstract so it reads well for a journal submission.,writing,writing-023,train
Describe the scene in this painting in detail?,multimodal,multimodal-064,train
I need help: which country hosted the last G20 summit?,search,search-017,test
Please create a tagline and slogan for a bicycle rental startup?,writing,writing-024,train
Why does npm install fail with EACCES permission denied,coding,coding-002,test
Turn these bullet points into a well-structured report,writing,writing-017,test
"Could you if it is 3 pm in London what time is it in Bangalore, reason it out?",reasoning,reasoning-024,train
Please create a LinkedIn post announcing my new job asap,writing,writing-042,train
"Hey, write a long-form explainer on how vaccines work for a general audience?",writing,writing-069,train
Which fruit in this basket photo looks ripe please,multimodal,multimodal-068,train
Polish this abstract so it reads well for a journal submission,writing,writing-023,train
Write a long-form explainer on how vaccines work for a general audience.,writing,writing-069,train
Who is the CEO of OpenAI right now,search,search-068,train
"I need help: two dice are rolled, what is the probability the sum is 7",reasoning,reasoning-034,train
Quick one: how do I read environment variables in Node.js thanks,coding,coding-057,train
How to merge two branches in git without a merge commit,coding,coding-072,train
Explain the reasoning behind the prisoner's dilemma thanks,reasoning,reasoning-082,train
When was the Taj Mahal completed,search,search-033,train
What is the speed of light in km per second,search,search-021,train
Convert this screenshot of a table into markdown,multimodal,multimodal-070,train
Draft a statement of purpose for a PhD in computer science,writing,writing-016,test
Please write a function to validate an email address in JavaScript?,coding,coding-073,train
Find the nearest passport office in Bangalore,search,search-000,test
I need help: write a movie review of a sci-fi film I just watched,writing,writing-022,train
Write a letter of recommendation for my intern,writing,writing-033,train
Explain this Kubernetes YAML and why the pod is CrashLoopBackOff.,coding,coding-025,train
Please draft the about-us page for a startup that sells organic tea please,writing,writing-086,train
"Hey, give me the latest unemployment statistics for the US",search,search-028,train
Which of these two selfies should I use for my profile,multimodal,multimodal-027,train
Write a book blurb for a fantasy novel about a librarian mage,writing,writing-044,train
Write a 500-word reflection on what I learned this semester,writing,writing-063,train
Can you what is the tallest building in the world right now?,search,search-056,train
What is the difference between a process and a thread in an OS,coding,coding-054,train
Look at the picture and tell me what time the clock shows,multimodal,multimodal-034,train
How would you settle a dispute between two co-founders about equity?,reasoning,reasoning-049,train
What is the official language of Brazil?,search,search-024,train
Why is the Monty Hall answer counterintuitive to most people,reasoning,reasoning-056,train
What are the visa requirements for Indians travelling to Japan,search,search-040,train
Explain step by step how to decide which sorting algorithm to use,reasoning,reasoning-009,test
Can you look at this sketch and tell me what building it is?,multimodal,multimodal-008,test
Could you suggest a caption for this sunset picture,multimodal,multimodal-029,train
"Hey, what is written on the t-shirt in this picture",multimodal,multimodal-049,train
Fix this Python TypeError: unsupported operand type(s) for +: 'int' and 'str',coding,coding-012,test
Please what is the score shown on this scoreboard picture?,multimodal,multimodal-054,train
ModuleNotFoundError: No module named numpy even after pip install?,coding,coding-010,test
I need help: look at this chest of drawers photo and tell me how to fix the drawer thanks,multimodal,multimodal-033,train
Write a blog post about the benefits of morning routines,writing,writing-081,train
Write a sonnet about the ocean,writing,writing-076,train
Could you my git push is rejected because the remote contains work I do not have?,coding,coding-051,train
Could you write a heartfelt birthday message for my mom please,writing,writing-026,train
Read the serial number from this photo of my laptop?,multimodal,multimodal-026,train
Can you explain memory leaks in JavaScript closures?,coding,coding-004,test
Quick one: write a testimonial for my yoga instructor.,writing,writing-061,train
Please draft a pitch email to a journalist about our app,writing,writing-001,test
Quick one: what's in this screenshot of my terminal error please,multimodal,multimodal-079,train
Identify the mountain range in this landscape photo,multimodal,multimodal-057,train
What are the current RBI repo rate figures?,search,search-055,train
I need help: are there any train strikes in Mumbai today.,search,search-003,test
"Hey, explain the difference between async and await in JavaScript.",coding,coding-085,train
Quick one: help me think through whether to drop this course thanks,reasoning,reasoning-057,train
What is wrong with the argument that correlation proves causation thanks,reasoning,reasoning-084,train
"I need help: if a shirt costs 800 after a 20 percent discount, what was the original price thanks",reasoning,reasoning-015,test
Could you draft an email to my professor asking for a deadline extension,writing,writing-039,train
What is the score of the India vs Australia match.,search,search-048,train
"Could you if 3 workers build a wall in 6 days, how long do 9 workers take asap",reasoning,reasoning-073,train
Could you write a poem about monsoon in Hyderabad?,writing,writing-008,test
"If I flip a fair coin 10 times, what is the expected number of heads",reasoning,reasoning-061,train
My git push is rejected because the remote contains work I do not have,coding,coding-051,train
What is the diagram in this picture showing,multimodal,multimodal-085,train
"What is the difference between let, const and var",coding,coding-088,train
"Quick one: a lily pad doubles every day and covers the pond in 30 days, when did it cover half please",reasoning,reasoning-055,train
"Can you a lily pad doubles every day and covers the pond in 30 days, when did it cover half?",reasoning,reasoning-055,train
What is wrong with the argument that correlation proves causation,reasoning,reasoning-084,train
I need help: write a sonnet about the ocean.,writing,writing-076,train
Help me decide between studying abroad and staying in India for my degree,reasoning,reasoning-023,train
"If the average of five numbers is 12 and one is removed leaving an average of 10, what was removed",reasoning,reasoning-000,test
Please estimate the number of cars in Bangalore with reasoning asap,reasoning,reasoning-068,train
"A lily pad doubles every day and covers the pond in 30 days, when did it cover half",reasoning,reasoning-055,train
Who won the Nobel Prize in Physics this year please,search,search-018,train
"Quick one: is this syllogism valid: some cats are black, all black things are dark, so some cats are dark",reasoning,reasoning-052,train
Implement a LRU cache in Python,coding,coding-007,test
Please write a children's rhyme about brushing teeth,writing,writing-062,train
"Hey, what is the tallest building in the world right now.",search,search-056,train
Quick one: why is my Python virtual environment not activating on Windows?,coding,coding-065,train
Count the number of people in this image?,multimodal,multimodal-073,train
Please create a responsive grid layout with Tailwind please,coding,coding-086,train
Quick one: refactor this class to use dependency injection?,coding,coding-082,train
I need help: when does daylight saving time end in the US this year,search,search-050,train
Please write a migration to add an index on the email column,coding,coding-011,test
How many diagonals does a decagon have,reasoning,reasoning-059,train
Could you what is the average temperature in Delhi in May,search,search-025,train
Break down whether a startup should raise money now or bootstrap,reasoning,reasoning-089,train
What is the animal in this blurry night photo,multimodal,multimodal-000,test
Quick one: how much does a Tesla Model 3 cost in India.,search,search-007,test
Can you compose a polite complaint email to my landlord about the leaking roof,writing,writing-031,train
Write a Kotlin data class for a user profile,coding,coding-034,train
Look at this chest of drawers photo and tell me how to fix the drawer,multimodal,multimodal-033,train
Who is the founder of Infosys,search,search-026,train
Explain the logic behind the birthday paradox?,reasoning,reasoning-008,test
Quick one: convert this callback code to promises,coding,coding-014,test
I need help: what does the pie chart in this image show as the largest slice asap,multimodal,multimodal-050,train
Can you what is the current price of Bitcoin please,search,search-066,train
Quick one: compose a polite complaint email to my landlord about the leaking roof asap,writing,writing-031,train
Write the introduction chapter for my thesis on renewable energy,writing,writing-089,train
"Should I take the job with higher pay or the one with better learning, think it through",reasoning,reasoning-075,train
